IAU Name,Designation,Const.,Vmag,RA,Dec
Alula Borealis,HR 4377,UMa,3.49,169.619737,33.094305
Alya,HR 7141,Ser,4.62,284.054949,4.203602
Alzirr,HR 2484,Gem,3.35,101.322351,12.895592
Ancha,HR 8499,Aqr,4.17,334.208485,-7.783291
Angetenar,HR 850,Eri,4.76,42.759674,-21.004018
Ankaa,HR 99,Phe,2.40,6.570939,-42.306084
Anser,HR 7405,Vul,4.44,292.176375,24.664903
Antares,HR 6134,Sco,1.06,247.351915,-26.432003
Arcturus,HR 5340,Boo,-0.05,213.915300,19.182409
Arkab Posterior,HR 7343,Sgr,4.27,290.804740,-44.799779
Arkab Prior,HR 7337,Sgr,3.96,290.659551,-44.458959
Arneb,HR 1865,Lep,2.58,83.182567,-17.822289
Ascella,HR 7194,Sgr,2.60,285.653043,-29.880063
Asellus Australis,HR 3461,Cnc,3.94,131.171248,18.154309
Asellus Borealis,HR 3449,Cnc,4.66,130.821442,21.468501
Aspidiske,HR 3699,Car,2.21,139.272529,-59.275232
Asterope,HR 1151,Tau,5.76,56.476987,24.554512
Athebyne,HR 6132,Dra,2.73,245.997858,61.514214
Atik,HR 1131,Per,3.84,56.079720,32.288240
Atlas,HR 1178,Tau,3.62,57.290597,24.053415
Atria,HR 6217,TrA,1.91,252.166229,-69.027712
Avior,HR 3307,Car,1.86,125.628480,-59.509484
Azelfafage,HR 8301,Cyg,4.69,325.523602,51.189623
Azha,HR 874,Eri,3.89,44.106873,-8.898145
Barnard's Star,GJ 699,Oph,9.54,269.454023,4.668288
Baten Kaitos,HR 539,Cet,3.74,27.865137,-10.335044
Beemim,HR 1393,Eri,3.97,66.009239,-34.016848
Beid,HR 1298,Eri,4.04,62.966415,-6.837580
Bellatrix,HR 1790,Ori,1.64,81.282764,6.349703
Betelgeuse,HR 2061,Ori,0.45,88.792939,7.407064
Bharani,HR 838,Ari,3.61,42.495972,27.260507
Biham,HR 8450,Peg,3.52,332.549939,6.197863
Botein,HR 951,Ari,4.35,47.907356,19.726674
Brachium,HR 5603,Lib,3.25,226.017567,-25.281961
Canopus,HR 2326,Car,-0.62,95.987958,-52.695661
Capella,HR 1708,Aur,0.08,79.172328,45.997991
Caph,HR 21,Cas,2.28,2.294522,59.149781
Castor,HR 2891,Gem,1.98,113.649428,31.888276
Castula,HR 265,Cas,4.62,14.166271,59.181055
Cebalrai,HR 6603,Oph,2.76,265.868136,4.567300
Celaeno,HR 1140,Tau,5.45,56.200893,24.289468
Cervantes,HR 6585,Ara,5.15,266.036255,-51.834051
Chalawan,HR 4277,UMa,5.03,164.866553,40.430256
Chamukuy,HR 1412,Tau,3.73,67.165586,15.870882
Chara,HR 4785,CVn,4.24,188.435603,41.357479
Chertan,HR 4359,Leo,3.33,168.560019,15.429571
Copernicus,HR 3522,Cnc,5.95,133.149212,28.330820
Cor Caroli,HR 4915,CVn,2.89,194.006943,38.318376
Cujam,HR 6117,Her,4.57,246.353979,14.033274
Cursa,HR 1666,Eri,2.78,76.962440,-5.086446
Dabih,HR 7776,Cap,3.05,305.252803,-14.781405
Dalim,HR 963,For,3.86,48.018864,-28.987620
Deneb Algedi,HR 8322,Cap,2.85,326.760184,-16.127287
Deneb,HR 7924,Cyg,1.25,310.357980,45.280339
Denebola,HR 4534,Leo,2.14,177.264910,14.572058
Diadem,HR 4968,Com,4.85,197.497029,17.529447
Diphda,HR 188,Cet,2.04,10.897379,-17.986606
Dschubba,HR 5953,Sco,2.29,240.083359,-22.621710
Dubhe,HR 4301,UMa,1.81,165.931965,61.751035
Dziban,HR 6636,Dra,4.57,265.484814,72.148847
Edasich,HR 5744,Dra,3.29,231.232396,58.966063
Electra,HR 1142,Tau,3.72,56.218904,24.113336
Elnath,HR 1791,Tau,1.65,81.572971,28.607452
Eltanin,HR 6705,Dra,2.24,269.151541,51.488896
Enif,HR 8308,Peg,2.38,326.046484,9.875009
Errai,HR 8974,Cep,3.21,354.836655,77.632313
Fafnir,HR 6945,Dra,4.82,276.496406,65.563480
Fang,HR 5944,Sco,2.89,239.712972,-26.114108
Fomalhaut,HR 8728,PsA,1.17,344.412693,-29.622237
Fulu,HR 153,Cas,3.69,9.242851,53.896908
Furud,HR 2282,CMa,3.02,95.078300,-30.063367
Fuyue,HR 6630,Sco,3.19,267.464503,-37.043305
Gacrux,HR 4763,Cru,1.59,187.791498,-57.113213
Geminga,PSR B0633+17,Gem,-,98.475638,17.770253
Giausar,HR 4434,Dra,3.82,172.850920,69.331075
Gienah,HR 4662,Crv,2.58,183.951543,-17.541929
Gomeisa,HR 2845,CMi,2.89,111.787674,8.289316
Grumium,HR 6688,Dra,3.73,268.382207,56.872646
Hadar,HR 5267,Cen,0.61,210.955856,-60.373035
Haedus,HR 1641,Aur,3.18,76.628722,41.234476
Hamal,HR 617,Ari,2.01,31.793357,23.462418
Hassaleh,HR 1577,Aur,2.69,74.248421,33.166100
Hatysa,HR 1899,Ori,2.80,83.858258,-05.909901
Helvetios,HR 8729,Peg,5.49,344.366583,20.768831
Homam,HR 8634,Peg,3.41,340.365503,10.831363
Iklil,HR 5928,Sco,3.87,239.221151,-29.214073
Intercrus,HR 3743,UMa,5.41,142.166618,45.601482
Izar,HR 5506,Boo,2.35,221.246763,27.074207
Jabbah,HR 6027,Sco,4.50,242.998894,-19.460708
Jishui,HR 2930,Gem,4.89,114.791387,34.584346
Kaffaljidhma,HR 804,Cet,3.56,40.825163,3.235816
Kang,HR 5315,Vir,4.18,213.223939,-10.273704
Kaus Australis,HR 6879,Sgr,1.79,276.042993,-34.384616
Kaus Borealis,HR 6913,Sgr,2.82,276.992668,-25.421701
Kaus Media,HR 6859,Sgr,2.72,275.248508,-29.828104
Keid,HR 1325,Eri,4.43,63.817999,-7.652872
Khambalia,HR 5359,Vir,4.52,214.777468,-13.371096
Kitalpha,HR 8131,Equ,3.92,318.955949,5.247865
Kochab,HR 5563,UMi,2.07,222.676357,74.155504
Kornephoros,HR 6148,Her,2.78,247.554998,21.489611
Kurhah,HR 8417,Cep,4.26,330.947724,64.627971
Lesath,HR 6508,Sco,2.70,262.690979,-37.295813
Libertas,HR 7595,Aql,4.71,298.562008,8.461453
Lich,PSR B1257+12,Vir,-,195.012701,12.682417
Lilii Borea,HR 824,Ari,4.52,41.977256,29.247115
Maasym,HR 6526,Her,4.41,262.684626,26.110645
Mahasim,HR 2095,Aur,2.65,89.930292,37.212585
Maia,HR 1149,Tau,3.87,56.456695,24.367751
Marfik,HR 6149,Oph,3.82,247.728453,1.983888
Markab,HR 8781,Peg,2.49,346.190223,15.205267
Markeb,HR 3734,Vel,2.47,140.528407,-55.010667
Marsic,HR 6008,Her,5.00,242.018857,17.046980
Matar,HR 8650,Peg,2.93,340.750579,30.221244
Mebsuta,HR 2473,Gem,3.06,100.983026,25.131127
Megrez,HR 4660,UMa,3.32,183.856503,57.032615
Meissa,HR 1879,Ori,3.39,83.784486,9.934156
Mekbuda,HR 2650,Gem,4.01,106.027215,20.570295
Meleph,HR 3429,Cnc,6.29,130.112544,19.544809
Menkalinan,HR 2088,Aur,1.90,89.882179,44.947433
Menkar,HR 911,Cet,2.54,45.569885,4.089737
Menkent,HR 5288,Cen,2.06,211.670617,-36.369958
Menkib,HR 1228,Per,3.98,59.741253,35.791032
Merak,HR 4295,UMa,2.34,165.460319,56.382426
Merga,HR 5533,Boo,5.76,222.327791,46.116206
Meridiana,HR 7254,CrA,4.11,287.368087,-37.904473
Merope,HR 1156,Tau,4.14,56.581552,23.948348
Mesarthim,HR 546,Ari,4.75,28.382560,19.293852
Miaplacidus,HR 3685,Car,1.67,138.299906,-69.717208
Mimosa,HR 4853,Cru,1.25,191.930263,-59.688764
Minchir,HR 3418,Hya,4.45,129.689323,3.341436
Minelauva,HR 4910,Vir,3.39,193.900869,3.397470
Mintaka,HR 1852,Ori,2.25,83.001667,-0.299095
Mira,HR 681,Cet,6.47,34.836617,-2.977640
Mirach,HR 337,And,2.07,17.433013,35.620557
Miram,HR 834,Per,3.77,42.674207,55.895497
Mirfak,HR 1017,Per,1.79,51.080709,49.861179
Mirzam,HR 2294,CMa,1.98,95.674939,-17.955919
Misam,HR 941,Per,3.79,47.374048,44.857541
Mizar,HR 5054,UMa,2.23,200.981429,54.925362
Mothallah,HR 544,Tri,3.42,28.270450,29.578826
Muliphein,HR 2657,CMa,4.11,105.939554,-15.633286
Muphrid,HR 5235,Boo,2.68,208.671161,18.397717
Muscida,HR 3323,UMa,3.35,127.566128,60.718170
Musica,HR 8030,Del,5.48,314.608058,10.839286
Naos,HR 3165,Pup,2.21,120.896031,-40.003148
Nashira,HR 8278,Cap,3.69,325.022735,-16.662308
Nekkar,HR 5602,Boo,3.49,225.486510,40.390567
Nembus,HR 464,And,3.59,24.498154,48.628214
Nihal,HR 1829,Lep,2.81,82.061346,-20.759441
Nunki,HR 7121,Sgr,2.05,283.816360,-26.296724
Nusakan,HR 5747,CrB,3.66,231.957211,29.105699
Ogma,HD 149026,Her,8.16,247.623409,38.347311
Peacock,HR 7790,Pav,1.94,306.411904,-56.735090
Phact,HR 1956,Col,2.65,84.912254,-34.074110
Phecda,HR 4554,UMa,2.41,178.457679,53.694758
Pherkad,HR 5735,UMi,3.00,230.182150,71.834017
Pipirima,HR 6252,Sco,3.56,253.083939,-38.017535
Pleione,HR 1180,Tau,5.05,57.296738,24.136710
Polaris Australis,HR 7228,Oct,5.45,317.195164,-88.956499
Polaris,HR 424,UMi,1.97,37.954561,89.264109
Polis,HR 6812,Sgr,3.84,273.440870,-21.058832
Pollux,HR 2990,Gem,1.16,116.328958,28.026199
Porrima,HR 4825,Vir,2.74,190.415181,-1.449373
Praecipua,HR 4247,LMi,3.79,163.327937,34.214872
Prima Hyadum,HR 1346,Tau,3.65,64.948349,15.627643
Procyon,HR 2943,CMi,0.40,114.825493,5.224993
Propus,HR 2216,Gem,3.31,93.719405,22.506794
Proxima Centauri,GJ 551,Cen,11.01,217.428953,-62.679484
Ran,HR 1084,Eri,3.73,53.232687,-9.458259
Rana,HR 1136,Eri,3.53,55.812086,-9.763392
Rasalas,HR 3905,Leo,3.88,148.190903,26.006953
Rasalgethi,HR 6406,Her,3.37,258.661910,14.390333
Rasalhague,HR 6556,Oph,2.08,263.733627,12.560035
Rastaban,HR 6536,Dra,2.79,262.608174,52.301389
Regulus,HR 3982,Leo,1.36,152.092962,11.967209
Revati,HR 361,Psc,5.21,18.432864,7.575354
Rigel,HR 1713,Ori,0.18,78.634467,-8.201638
Rigil Kentaurus,HR 5459,Cen,-0.01,219.902066,-60.833975
Rotanev,HR 7882,Del,3.64,309.387235,14.595115
Ruchbah,HR 403,Cas,2.66,21.453964,60.235284
Rukbat,HR 7348,Sgr,3.96,290.971570,-40.615940
Sabik,HR 6378,Oph,2.43,257.594529,-15.724907
Saclateni,HR 1612,Aur,3.69,75.619531,41.075839
Sadachbia,HR 8518,Aqr,3.86,335.414064,-1.387334
Sadalbari,HR 8684,Peg,3.51,342.500809,24.601577
Sadalmelik,HR 8414,Aqr,2.95,331.445983,-0.319849
Sadalsuud,HR 8232,Aqr,2.90,322.889715,-5.571176
Sadr,HR 7796,Cyg,2.23,305.557091,40.256679
Saiph,HR 2004,Ori,2.07,86.939120,-9.669605
Salm,HR 8880,Peg,4.58,350.159341,23.740336
Sargas,HR 6553,Sco,1.86,264.329711,-42.997824
Sarin,HR 6410,Her,3.12,258.757963,24.839204
Sceptrum,HR 1481,Eri,4.02,69.545104,-14.304017
Scheat,HR 8775,Peg,2.44,345.943572,28.082785
Schedar,HR 168,Cas,2.24,10.126838,56.537331
Secunda Hyadum,HR 1373,Tau,3.78,65.733719,17.542514
Segin,HR 0542,Cas,3.35,28.598857,63.670101
Seginus,HR 5435,Boo,3.04,218.019466,38.308251
Sham,HR 7479,Sge,4.39,295.024133,18.013891
Shaula,HR 6527,Sco,1.62,263.402167,-37.103824
Sheliak,HR 7106,Lyr,3.52,282.519978,33.362668
Sheratan,HR 553,Ari,2.64,28.660046,20.808031
Sirius,HR 2491,CMa,-1.44,101.287155,-16.716116
Situla,HR 8610,Aqr,5.04,339.439084,-4.228056
